Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Om Shanti Om,(2007),13,Farah Khan,Gauri Khan,"Shahrukh Khan, Deepika Padukone, Shreyas Talpade, Vishal Dadlani, Rishi Kapoor, Subhash Ghai, Karan Johar, Amitabh Bachchan, Abhishek Bachchan, Hrithik Roshan, Rani Mukherjee, Preity Zinta, Javed Sheikh, Arjun Rampal, Zayed Khan, Arbaaz Khan, Dino Morea, Riteish Deshmukh, Aftab Shivdasani, Rekha, Shabana Azmi, Kajol, Priyanka Chopra, Shilpa Shetty, Lara Dutta, Vidya Balan, Amrita Arora, Juhi Chawla, Saif Ali Khan, Sanjay Dutt, Salman Khan, Dharmendra, Jeetendra, Tusshar Kapoor, Mithun Chakrabort","Javed Akhtar, Kumaar, Vishal Dadlani","Vishal Dadlani, Shekhar Ravjiani","Abhijeet, Caralisa Monteiro, K K, Marianne D'Cruz, Nisha Mascarenhas, Rahat Fateh Ali Khan, Rahul Saxena, Richa Sharma, Shaan, Shreya Ghoshal, Sonu Nigam, Sukhwinder Singh, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt1024943, http://en.wikipedia.org/wiki/Om_Shanti_Om",
Omkara,(2006),10,Vishal Bhardwaj,Kumar Mangat,"Ajay Devgn, Vivek Oberoi, Saif Ali Khan, Kareena Kapoor, Konkona Sen Sharma, Bipasha Basu, Naseruddin Shah, Deepak Dobriyal, Manav Kaushik, Rahul Kumar",Gulzar,Vishal Bhardwaj,"Clinton Cerejo, Nachiketa Chakraborty, Rahat Fateh Ali Khan, Rakesh Pandit, Rekha Bhardwaj, Shreya Ghoshal, Sukhwinder Singh, Sunidhi Chauhan, Suresh Wadkar, Vishal Bhardwaj","https://www.imdb.com/title/tt0488414, http://en.wikipedia.org/wiki/Omkara_%28film%29",
One Two Three,(2008),9,Ashwani Dhir,"Kumar Mangat, Sunil A. Lulla","Suniel Shetty, Tusshar Kapoor, Paresh Rawal, Upen Patel, Esha Deol, Sameera Reddy, Tanisha Mukherjee, Neetu Chandra, Manoj Pahwa, Vrajesh Hirjee, Murli Sharma, Sanjay Mishra, Mukesh Tiwari, Ashwin Mushran, Atul Mathur, Usha Nadkarni, Arjun Punj, Rajkumar Kanojia, Rohitash Gaud","Aditya Dhar, Munna Dhiman",Raghav Sachar,"Aditya Dhar, Earl, Kailash Kher, Kaptain Laadi, Kshitij, Kunal Ganjawala, Mahalakshmi Iyer, Ninad Kamat, Raghav Sachar, Shilpa Rao, Sunidhi Chauhan","https://www.imdb.com/title/tt1176960, http://en.wikipedia.org/wiki/One_Two_Three_%282008_film%29",
Out Of Control,(2003),7,"Apurva Asrani, Ramanjit Juneja",Vashu Bhagnani,"Riteish Deshmukh, Brande Roderick, Hrishita Bhatt, Amrish Puri, Satish Shah, Himani Shivpuri, Naveen Nischol",Dev Kohli,Anand Raj Anand,"Adnan Sami, Babul Supriyo, Ramona, Shaan, Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt0388315, http://en.wikipedia.org/wiki/Out_of_Control_%282003_film%29","https://www.youtube.com/watch?v=zMoSEp72wTM, https://www.youtube.com/watch?v=V8iq2iqu2P0"
Om Jai Jagadish,(2002),8,Anupam Kher,Vashu Bhagnani,"Choudhary, Fardeen Khan, Urmila Matondkar, Abhishek Bachchan, Tara Sharma, Parmeet Sethi, Anu Kapoor, Raju Kher, Satish Shah, Rakesh Bedi, Shishir Sharma, Rajesh Khera, Anjan Srivastava, Brijesh Tiwari, Cyrus Sahukar, Achint Kaur, Lilette Dubey, Arun Bali",Sameer,Anu Malik,"Kavita Krishnamurthy, Abhijeet, Sonu Nigam, Alka Yagnik, Udit Narayan, Shaan, Hema Sardesai","https://www.imdb.com/title/tt0327071, http://en.wikipedia.org/wiki/Om_Jai_Jagadish","https://www.youtube.com/watch?v=BAmONQdMYS0, https://www.youtube.com/watch?v=fDcs0bK8D0E"
Once Upon A Time In Mumbaai Dobaara,(2013),5,Milan Luthria,"Ekta Kapoor, Shobha Kapoor","Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Sarfaraz Khan, Abhimanyu Shekhar Singh, Hussain Shaikh, Mushtaq Khan, Pitobash Tripathy, Tiku Talsania",Rajat Aroraa,Pritam Chakraborty,,"https://www.imdb.com/title/tt1891884, http://en.wikipedia.org/wiki/Once_Upon_a_Time_In_Mumbaai_Dobara",https://www.youtube.com/watch?v=Wo71O9i3Aj0
Oonche Log,(1985),6,"Brij, Phani Mazumdar",Sayyeda R K Kapoor,"Rajesh Khanna, Salma Agha, Prem Chopra, Danny Denzongpa, Feroz Khan, Deven Verma, Ashok Kumar, Raaj Kumar, Priti Sapru, Raza Murad, Kanhaiya Lal, Tarun Bose, Pradeep Kumar, Pinchoo Kapoor",Anjaan,R D Burman,"Asha Bhosle, Kishore Kumar, Salma Agha","https://www.imdb.com/title/tt0158047, http://en.wikipedia.org/wiki/Oonche_Log","https://www.youtube.com/watch?v=dEhNpySpRGc, https://www.youtube.com/watch?v=9lkHGpoIK9E"
OMG Oh My God!,(2012),12,Umesh Shukla,"Akshay Kumar, Ashvini Yardi, Paresh Rawal","Paresh Rawal, Akshay Kumar, Nidhi Subbaiah, Govind Namdev, Mithun Chakraborty, Mahesh Manjrekar, Sonakshi Sinha, Prabhu Dheva, Murli Sharma, Poonam Jhawer","Shabbir Ahmed, Sameer, Subrat Sinha, Kumaar, Swanand Kirkire","Himesh Reshammiya, Meet Bros Anjan Ankit, Sachin, Jigar","Mika Singh, Shreya Ghoshal, Aman Trikha","https://www.imdb.com/title/tt2283748, http://en.wikipedia.org/wiki/Oh_My_God_(2012_film)",https://www.youtube.com/watch?v=OV134Hv2KMc
Once Upon A Time In Mumbaai,(2010),9,Milan Luthria,"Ekta Kapoor, Shobha Kapoor","Ajay Devgn, Emraan Hashmi, Kangna Ranaut, Prachi Desai, Randeep Hooda, Gauhar Khan, Avtar Gill, Naved Aslam, Sanjeev Wilson, Mehul Bhojak, Ravi Khanwilkar, Asif Basra, Amy Kingston, Imran Hasnee","Amitabh Bhattacharya, Neelesh Misra, Irshad Kamil",Pritam Chakraborty,"Mika Singh, K K, Dominique Cerejo, Karthik, Sunidhi Chauhan, Mohit Chauhan, Rahat Fateh Ali Khan, Tulsi Kumar","https://www.imdb.com/title/tt1395054, http://en.wikipedia.org/wiki/Once_Upon_A_Time_In_Mumbaai",
Oomar Qaid,(1961),7,Aspi Azad,,"Sheikh Mukhtar, Sudhir, Nazima, Mukri, Hiralal, Sulochana, Helen",Hasrat Jaipuri,Iqbal Qureshi,"Asha Bhosle, Mahendra Kapoor, Mukesh, Kamal Barot, Mohammed Rafi",https://www.imdb.com/title/tt0154977,"https://www.youtube.com/watch?v=xSDXjKTx4ks, https://www.youtube.com/watch?v=Qf1c9XaeuJo"
Oonche Log,(1965),4,Phani Mazumdar,,"Ashok Kumar, Raj Kumar, Feroz Khan, K R Vaidya, Kanhaiya Lal, Tarun Bose",Majrooh Sultanpuri,Chitragupt,"Lata Mangeshkar, Mahendra Kapoor, Asha Bhosle, Manna Dey, Mohammed Rafi",https://www.imdb.com/title/tt0236554,"https://www.youtube.com/watch?v=2DWRkIh6SvM, https://www.youtube.com/watch?v=MnsUJYKfYOE"
O Heeriye,(2013),2,,,,"Rochak Kohli, Ayushmann Khurrana	","Rochak Kohli, Ayushmann Khurrana",Ayushmann Khurrana	,http://en.wikipedia.org/wiki/O_Heeriye,
O Ho (Album),(1999),5,,,,Sanjiv Anand,Jaidev,Shardool Sikander,,
O Majhi Re (Album),(2004),2,,,,,,Abhijeet,,
O Meri Munni,(1998),9,,,,,,Remo Fernandes,,
O Teri,(2014),9,Umesh Bist,"Atul Agnihotri, Alvira Agnihotri","Pulkit Samrat, Bilal Amrohi, Sarah Jane Dias, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa, Salman Khan, Kuldeep Sareen, Ishtiyaq Ahmed, Murli Sharma, Razzak Khan, Himani Shivpuri, Shrikant, Supriya Shukla, Mohan Kapoor, Lulia Vantur","Kumaar,     Abhinav Chaturvedi,    Manish J. Tipu,  Akshay K. Saxena","Hard Kaur, Gj Singh, Rajiv Bhalla","Mika Singh,     Jaspreet Jasz,     Roshni Baptist,      Neeti Mohan,      Iulia Vantur,     Manish J. Tipu,     Gj Singh,  Rajiv Bhalla,  Neuman Pinto","https://www.imdb.com/title/tt3483596, http://en.wikipedia.org/wiki/O_Teri",https://www.youtube.com/watch?v=XvD3wy5z61A
October,(2018),5,Shoojit Sircar,"Ronnie Lahiri, Sheel Kumar - I","Ashish Ghosh, Banita Sandhu, Gitanjali Rao, Isha Chaturvedi, Iteeva Pandey, Karamveer Kanwar, Nimmi Raphael, Prateek Kapoor, Rachica Oswal, Sahil Vadoliya, Shekhar Murugan, Varun Dhawan","Abhiruchi Chand, Tanveer Ghazi, Swanand Kirkire","Abhishek Arora, Shantanu Moitra, Anupam Roy","Armaan Malik, Rahat Fateh Ali Khan, Sunidhi Chauhan, Monali Thakur",https://www.imdb.com/title/tt7700730,"https://www.youtube.com/watch?v=aOw9A_gi7Hg, https://www.youtube.com/watch?v=ZUXtoIB5bE4"
Officer,(2001),11,Naeem Sha,Faruq Nadiadwala,"Suniel Shetty, Raveena Tandon, Sadashiv Amrapurkar, Danny Denzongpa, Shahbaaz Khan, Tej Sapru, Pramod Moutho, Vishwajeet Pradhan, Shehzad Khan","Sayeed Rahi, Nawab Arzoo, Deepak Chaudhary","Rajesh Roshan, Deepak Chaudhary","Alka Yagnik, Kumar Sanu, Shaan, Jaspinder Narula, Babul Supriyo, Jaspinder Narula","https://www.imdb.com/title/tt0265452, http://en.wikipedia.org/wiki/Officer_(2001_film)","https://www.youtube.com/watch?v=HSwo4COGZBY, https://www.youtube.com/watch?v=w9RI3VWqOdM"
Oh Bewafaa,(1980),6,Sawan Kumar Tak,"Kailash Tak, Harish Tak","Rajendra Kumar, Anil Dhawan, Yogita Bali, Nazneen, T P Jain, Pinchoo Kapoor, Sunder Taneja, I S Johar, Paintal",Sawan Kumar Tak,Ved Pal Sharma,"Kishore Kumar, Hemlata, Suresh Wadkar",https://www.imdb.com/title/tt0395687,
Oh Darling Yeh Hai India,(1995),11,Ketan Mehta,Ketan Mehta,"Shahrukh Khan, Deepa Sahi, Javed Jaffrey, Anupam Kher, Amrish Puri, Tinu Anand, Rajesh Jais",Ketan Mehta,Ranjit Barot,"Alisha Chinoy, Antara Choudhary, Hema Sardesai, Javed Jaffrey, Nusrat, Raghuveer Yadav, Rani Mukherjee, Ranjit Barot, Shankar Mahadevan, Shweta Shetty, Sudesh Bhosle, Vinod Rathod","https://www.imdb.com/title/tt0114031, http://en.wikipedia.org/wiki/Oh_Darling_Yeh_Hai_India",
Pakeezah,(1972),11,Kamal Amrohi,Kamal Amrohi,"Ashok Kumar, Meena Kumari, Raj Kumar, Veena, Sapru, Kamal Kapoor, Nadira, Pratima Devi, Naseem Banoo, Chanda, Vijay Laxmi, Geetanjali, Nazir, Altaf, Zebunisa, Jagdish, Parveen Paul, Burque Lotan, Meenakshi, Chandra Mohan, Sarita Devi, Mishra, Rafia Sultana, Heena Kausar, Begum, Reshma, Shabana, Razia, Majid, Geeta Kapoor, Uma","Kaifi Azmi, Kamal Amrohi, Majrooh Sultanpuri","Ghulam Mohd, Naushad Ali, Ibrahim","Lata Mangeshkar, Mohammed Rafi, Parveen Sultana, Rajkumari, Shoba Gurtu, Vani Jairam","https://www.imdb.com/title/tt0067546, http://en.wikipedia.org/wiki/Pakeezah",https://www.youtube.com/watch?v=XtdGZd7vR-U
Parakh,(1960),5,Bimal Roy,Bimal Roy,"Sadhana, Vasant Choudhary, Nasir Husain, Kanhaiya Lal, Motilal, Durga Khote, Leela Chitnis, Mumtaz Begum, Mehar Banu, Jayant, Rashid Khan, Asit Sen, Hari Shivdasani, Vikram Kapoor, Moni Chatterjee, Keshto Mukherjee, Akashdeep, Sudarshan, Nishi, Prahlad Kapoor, Sarita Devi, Paul Mahendra, Raj Verma, Master Anwar, Santosh Kumar, Sharma, Shankar, Arun",Shailendra,Salil Chowdhary,"Lata Mangeshkar, Manna Dey","https://www.imdb.com/title/tt0055276, http://en.wikipedia.org/wiki/Parakh",https://www.youtube.com/watch?v=6Q4dCKG5WGY
Parasmani,(1963),6,Babubhai Mistri,Babubhai Mistri,"Mahipal, Geetanjali, Helen, Maruti, Nalini Chonkar, Manhar Desai, Jeevan Kala, Aruna Irani, Jugal Kishore, Uma Dutt","Assad Bhopali, Indeevar","Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Mohammed Rafi, Mukesh",https://www.imdb.com/title/tt0242760,https://www.youtube.com/watch?v=vKfmUg0XdaY
Patita,(1953),7,Amiya Chakraborty,Mars & Movies,"Dev Anand, Usha Kiran, Agha, Lalita Pawar, Indu Shivraj, Krishna Kant, C S Dube, Tiwari, B M Vyas","Hasrat Jaipuri, Shailendra",Shankar Jaikishan,"Talat Mahmood, Lata Mangeshkar, Hemant Kumar","https://www.imdb.com/title/tt0158074, http://en.wikipedia.org/wiki/Patita","https://www.youtube.com/watch?v=ZS0ZniLt0N4, https://www.youtube.com/watch?v=-LUVoZmpvbk"
Patthar Ke Sanam,(1968),7,Raja Nawathe,"A A Nadiadwala, Sajid Nadiadwala","Manoj Kumar, Waheeda Rehman, Mumtaz, Pran, Mehmood, Lalita Pawar, Tiwari, Raj Mehra, Mumtaz Begum, Jankidas, Misra, Uma Dutt, Aruna Irani, Vikram, Bhushan",Majrooh Sultanpuri,"Laxmikant Kudalkar, Pyarelal","Asha Bhosle, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0176012, http://en.wikipedia.org/wiki/Patthar_Ke_Sanam","https://www.youtube.com/watch?v=qmQP4TBvCu4, https://www.youtube.com/watch?v=z1Hm2BMzw-M"
Paying Guest,(1957),7,Subodh Mukherjee,,"Dev Anand, Nutan, Shobha Khote, Jagirdar, Sajjan, Kamalkant, Raj Kumari, Dulari",Majrooh Sultanpuri,S D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0050829, http://en.wikipedia.org/wiki/Paying_Guest","https://www.youtube.com/watch?v=_8-LDGuQsWU, https://www.youtube.com/watch?v=0GzcrmnTYMU"
PK,(2014),7,Rajkumar Hirani,"Rajkumar Hirani, Vidhu Vinod Chopra","Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Rohitash Gaud, Boman Irani",Swanand Kirkire,Ajay Atul,Swaroop Khan,"https://www.imdb.com/title/tt2338151, http://en.wikipedia.org/wiki/PK_%28film%29","https://www.youtube.com/watch?v=Ts54ZAVSjCE, https://www.youtube.com/watch?v=IZgUWfsdsdw"
Purab Aur Pachhim,(1971),9,Manoj Kumar,Manoj Kumar,"Manoj Kumar, Saira Banu, Pran, Omprakash, Nirupa Roy, C K Sobti, Vinod Khanna, Bharti, Madan Puri, Prem Chopra, Ashok Kumar, Shammi, Leela Mishra, Kamini Kaushal, Manmohan, Asit Sen, Rajendra Nath, Krishan Dhawan, Kuljit, Ram Mohan, Joginder, O P Kohli","Indeevar, Santosh Anand","Kalyanji Veerji, Anandji","Asha Bhosle, Brij Bhushan, Lata Mangeshkar, Mahendra Kapoor, Manhar Udhas, Mukesh, Usha Uthup","https://www.imdb.com/title/tt0234542, http://en.wikipedia.org/wiki/Purab_Aur_Pachhim",https://www.youtube.com/watch?v=lgoRm7k189Q
Pyaasa,(1957),13,Guru Dutt,Guru Dutt,"Guru Dutt, Mala Sinha, Waheeda Rehman, Shyama, Mehmood",Sahir Ludhianvi,S D Burman,"Geeta Dutt, Guru Dutt, Hemant Kumar, Mohammed Rafi","https://www.imdb.com/title/tt0050870, http://en.wikipedia.org/wiki/Pyaasa","https://www.youtube.com/watch?v=k_z5hTBWz2c, https://www.youtube.com/watch?v=7gQ8CNZET1A"
Padosan,(1968),8,Jyoti Swaroop,"Mehmood, N C Sippy","Sunil Dutt, Saira Banu, Mehmood, Kishore Kumar, Keshto Mukherjee, Mukri, Om Prakash, Agha, Dulari, Ratna, Raj Kishore, Moolchand, Sunder, Jankidas, Ganga",,R D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Manna Dey, Talat Mahmood","https://www.imdb.com/title/tt0063404, http://en.wikipedia.org/wiki/Padosan",https://www.youtube.com/watch?v=ts6ZJUXWr9k
Pagla Kahin Ka,(1970),6,Shakti Samanta,Ajit Chakraborty,"Shammi Kapoor, Asha Parekh, K N Singh, Prem Chopra, Murad, Viju Khote, Sunder, Helen",Hasrat Jaipuri,"Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Asha Bhosle, Lata Mangeshkar, Manna Dey, Mohammed Rafi","https://www.imdb.com/title/tt0268519, http://en.wikipedia.org/wiki/Pagla_Kahin_Ka",
Panaah,(1992),6,Krishnakant Pandya,M Pandya,"Naseruddin Shah, Siddharth, Jeet Upendra, Pallavi Joshi, Kiran Kumar, Pran",,,,https://www.imdb.com/title/tt2011178,
Pardes,(1997),9,Subhash Ghai,Subhash Ghai,"Shahrukh Khan, Mahima Choudhary, Apoorva Agnihotri, Amrish Puri, Alok Nath, Dina Pathak, Subhash Ghai, Himani Shivpuri, Madhuri Bhatia, Smita Jaykar, Anita Kanwar, Akash Karnataki, Padmavati, Aditya Narayan, Shobha Khote, Prachi Shah, Deepak Qazir, Anand Balraj, Shashi Sharma, Pawan Malhotra",Anand Bakshi,"Nadeem Saifee, Shravan","Aditya Narayan, Alka Yagnik, Chitra, Hariharan, Hema Sardesai, Kavita Krishnamurthy, Kumar Sanu, Sapna Awasthi, Shankar Mahadevan, Sonu Nigam, Udit Narayan","https://www.imdb.com/title/tt0119861, http://en.wikipedia.org/wiki/Pardes_%28film%29",
Parichay,(1972),5,Gulzar,"Subhash Kapoor, V K Sobti","Jeetendra, Jaya Bachchan, Raju Shreshta, Pran, Sanjeev Kumar, Asrani, Vinod Khanna, Keshto Mukherjee, Leela Mishra, A K Hangal, Veena, Gita Siddharth, Paintal, Dev Kishan, Satish, Master Ravi, Baby Pinky, Pushpraj, Kamal Deep, Kishore",Gulzar,"R D Burman, Basu Manohari, Maruti Rao","Asha Bhosle, Bhupinder, Kishore Kumar, Lata Mangeshkar","https://www.imdb.com/title/tt0216067, http://en.wikipedia.org/wiki/Parichay","https://www.youtube.com/watch?v=3l4wayO_hXI, https://www.youtube.com/watch?v=a5XseSu66yM"
Parinay,(1974),3,Kantilal Rathod,,"Romesh Sharma, Shabana Azmi, Asha Sachdev, Dinesh Thakur, Priti Ganguly, T P Jain","Ramanand Sharma, Jan Nisar Akhtar, Naqsh Lyallpuri",Jaidev,"Rajendra Mehta, Manna Dey, Vani Jairam, Sharma Brothers",https://www.imdb.com/title/tt0266832,
Parineeta,(2005),9,Pradeep Sarkar,Vidhu Vinod Chopra,"Sanjay Dutt, Saif Ali Khan, Raima Sen, Vidya Balan, Dia Mirza, Sabyasachi Chakravarthy, Rita Ganguli, Ninad Kamat, Rushita Pandaya, Amitabh Bachchan, Rekha, Achyut Potdar, Surinder Kaur, Zain Khan (child artist), Supriya Shukla",Swanand Kirkire,Shantanu Moitra,"Chitra, Rita Ganguli, Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan, Swanand Kirkire","https://www.imdb.com/title/tt0437407, http://en.wikipedia.org/wiki/Parineeta_%282005_film%29","https://www.youtube.com/watch?v=WfT1ddsbauA, https://www.youtube.com/watch?v=DfVVRXgn7HM"
Partner,(2007),8,David Dhawan,Sohail Khan,"Govinda, Salman Khan, Katrina Kaif, Lara Dutta, Dalip Tahil, Rajat Bedi, Suresh Menon, Vindu Dara Singh, Razzak Khan, Aarti Chhabria, Puneet Issar, Rajpal Yadav, Master Ali Haji, Shashi Kiran, Amey Pandya (Child Artist), Atul Parchure, Deepshikha, Tiku Talsania, Ali Asgar","Jalees Sherwani, Sanjay Chhel, Shabbir Ahmed","Sajid, Wajid","Clinton Cerejo, Earl, Kunal Ganjawala, Labh Jajua, Sajid, Shaan, Shweta Pandit, Sneha Pant, Sonu Nigam, Sunidhi Chauhan, Suzi Q, Udit Narayan, Wajid","https://www.imdb.com/title/tt0807758, http://en.wikipedia.org/wiki/Partner_%282007_film%29",
Parvarish,(1977),6,Manmohan Desai,A A Nadiadwala,"Amitabh Bachchan, Vinod Khanna, Neetu Singh, Shabana Azmi, Shammi Kapoor, Amjad Khan, Kader Khan, Indrani Mukherjee, Tom Alter, Moolchand, Dev Kumar, Heena Kausar, Master Ratan, Master Tito, Chand Usmani, Viju Khote, Shaikh, Bhushan Tiwari, Yusuf, Dilip, Meena",Majrooh Sultanpuri,"Laxmikant Kudalkar, Pyarelal","Amit Kumar, Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Shailendra Singh, Usha Mangeshkar","https://www.imdb.com/title/tt0076527, http://en.wikipedia.org/wiki/Parvarish","https://www.youtube.com/watch?v=easyichzP5M, https://www.youtube.com/watch?v=Fp9QF8yR60w"
Pehchan,(1970),8,Sohanlal Kanwar,Sohanlal Kanwar,"Manoj Kumar, Babita, Sailesh Kumar, Balraj Sahni, Chand Usmani, Tiwari, Tun Tun, Sulochana","Hasrat Jaipuri, Indeevar, Neeraj, Varma Malik","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, Mukesh, Sharda (2), Suman Kalyanpur","https://www.imdb.com/title/tt0246848, http://en.wikipedia.org/wiki/Pehchan_%281970_film%29",https://www.youtube.com/watch?v=gXWP6RMQvPg
Phagun,(1958),12,Bibhut Mitra,Mitra Productions,"Bharat Bhushan, Madhubala, Jeevan, Dhumal, Murad, Ronak Singh, Mehmood, Badri Prasad, Kammo, Nishi",Qamar,O P Naiyyar,"Asha Bhosle, Mohammed Rafi","https://www.imdb.com/title/tt0052065, http://en.wikipedia.org/wiki/Phagun_%281958_film%29","https://www.youtube.com/watch?v=L5OMxtO5HdA, https://www.youtube.com/watch?v=03BVT06n66M"
Qayamat Se Qayamat Tak,(1988),6,Mansoor Khan,Nasir Hussain,"Aamir Khan, Juhi Chawla, Alok Nath, Shehzad, Dalip Tahil, Nandita Thakur, Reema Lagoo, Faisal Khan, Goga Kapoor, Asha Sharma, Shahnaz, Charusheela, Arjun, Ajit Vachchani, Yunus Parvez, Viju Khote, Makrand Deshpande, Imran Khan, Ravindra Kapoor, Babban Yadav, Arun Mathur, Yatin Karyekar, Shiva, Brij Gopal, Raj Zutshi, Seema Vas, Shahzaad",Majrooh Sultanpuri,"Anand Chitragupt, Milind Chitragupt","Alka Yagnik, Udit Narayan","https://www.imdb.com/title/tt0095936, http://en.wikipedia.org/wiki/Qayamat_Se_Qayamat_Tak",
Qurbani,(1980),9,Feroz Khan,Feroz Khan,"Feroz Khan, Zeenat Aman, Vinod Khanna, Shakti Kapoor, Amrish Puri, Amjad Khan, Kader Khan, Aruna Irani, Jagdeep, Mac Mohan, Tun Tun, Viju Khote, Dinesh Hingoo","Biddu, Indeevar","Kalyanji Veerji, Anandji","Asha Bhosle, Kanchan, Kishore Kumar, Mohammed Rafi, Nazia Hassan","https://www.imdb.com/title/tt0246879, http://en.wikipedia.org/wiki/Qurbani_%281980_film%29",https://www.youtube.com/watch?v=0QrMnM9gz5M
Qayamat,(2003),9,Harry Baweja,Pammi Baweja,"Ajay Devgn, Suniel Shetty, Sanjay Kapoor, Arbaaz Khan, Ashish Chowdhry, Chunky Pandey, Neha Dhupia, Riya Sen, Eesha Koppikhar, Ayub Khan, Anjan Srivastava, Govind Namdeo, Raveena Tandon, Nitin Arora, Kulbhushan Kharbanda, Achyut Potdar, Deep Dhillon, Tej Sapru",Sameer,"Naresh Sharma, Ranjit Barot","Abhijeet, Alisha Chinoy, Alka Yagnik, Hema Sardesai, Kavita Krishnamurthy, Kumar Sanu, Mahalakshmi Iyer, Sadhana Sargam, Shaan, Sonu Nigam","https://www.imdb.com/title/tt0364621, http://en.wikipedia.org/wiki/Qayamat:_City_Under_Threat",
Qila,(1998),6,Umesh Mehra,Pavesh Mehra,"Dilip Kumar, Rekha, Mukul Dev, Mamta Kulkarni, Shahbaaz Khan, Gulshan Grover, Malay Chakraborty, Satish Kaushik, Rajeshwari Sachdev",Dev Kohli,Anand Raj Anand,"Asha Bhosle, Sadhna Sargam, Udit Narayan, Amit Kumar, Nayan Rathod, Preeti Uttam, Mohammed Aziz","https://www.imdb.com/title/tt0286907, http://en.wikipedia.org/wiki/Qila_%28film%29",
Queen,(2014),8,Vikas Bahl,"Anurag Kashyap, Vikramaditya Motwane","Kangna Ranaut, Rajkummar Rao, Lisa Haydon","Anvita Dutt,  Raghu Nath",Amit Trivedi,"Labh Janjua,   Amit Trivedi,   Shefali Alvares,   Nikhil D'Souza,  Arijit Singh,  Nandini Srikar,  Mohan Kanan,  Rupesh Kumar Ram","https://www.imdb.com/title/tt3322420, http://en.wikipedia.org/wiki/Queen_%28film%29",
Qaatil Kaun,(1980),4,,,,Anand Bakshi,R D Burman,"Kishore Kumar, Lata Mangeshkar",https://www.imdb.com/title/tt0390406,https://www.youtube.com/watch?v=vHEoy_JLp_Q
Qahar,(1997),6,Rajkumar Kohli,Rajkumar Kohli,"Armaan Kohli, Sonali Bendre, Deepti Bhatnagar, Raj Babbar, Kiran Kumar, Sunny Deol, Suniel Shetty, Isha Gupta, Gulshan Grover, Aruna Irani, Paresh Rawal, Rohini Hattangadi, Chandrashekhar, Gavin Packard, Rambha, Laxmikant Berde, Raza Murad, Tiku Talsania, Siddhant",Anand Bakshi,Anand Milind,"Udit Narayan, Alka Yagnik, Mohammed Aziz, Sadhna Sargam","https://www.imdb.com/title/tt0251356, http://en.wikipedia.org/wiki/Qahar",https://www.youtube.com/watch?v=ysQ2mGKygtk
Qaid,(1975),7,Atma Ram,Atma Ram,"Vinod Khanna, Leena Chandavarkar, Mehmood, K N Singh, Nazir Hasain, Kamini Kaushal, Sajjan, Jay Shree T, Ramesh Behl, Mohan Choti, Satyen Kappu, Sameer, Keshto Mukherjee, Rajesh Behl",Maya Govind,Nitin Mangeshkar,"Amit Kumar, Anjali, Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mehmood, Nitin Mukesh, Usha Mangeshkar","https://www.imdb.com/title/tt0155079, http://en.wikipedia.org/wiki/Qaid_%28film%29",https://www.youtube.com/watch?v=WaeX73UPHLU
Qaid Mein Hai Bulbul,(1992),8,Ravindra Peepat,Ravindra Peepat,"Himalaya, Bhagyashree, Sudha Chandran, Ajit Vachchani, Pankaj Dheer, Gulshan Grover, Avtar Gill, Aruna Irani, Reema Lagoo, Rana Jung Bahadur, Chandrashekhar, Vikram Gokhale, Guddi Maruti, Gufi Paintal, Dalip Tahil, Dan Dhanoa, Deep Dhillon, Gavin Packard",Sameer,"Anand, Milind","Alka Yagnik, Abhijeet, Suresh Wadkar, Kavita Krishnamurthy",https://www.imdb.com/title/tt0390400,
Qaidi,(1984),5,S S Ravichandra,G Hanumantha Rao,"Jeetendra, Madhvi, Kader Khan, Vidya Sinha, Shatrughan Sinha, Hema Malini, Shakti Kapoor, Ranjeet, Asrani, Urmila Bhatt, Bharat Bhushan, Dev Kumar, Sujit Kumar",Indeevar,Bappi Lahiri,"Kishore Kumar, Lata Mangeshkar, Asha Bhosle",https://www.imdb.com/title/tt0363002,
